uma_number,horse_name,uma_nenrei,kinryo,jocky,area,trainer
9,アリストテレス,牡4,55.0,ルメー,栗東,音無
4,ヴェルトライゼンデ,牡4,55.0,池添,栗東,池江
8,ラストドラフト,牡5,56.0,三浦,美浦,戸田
12,ステイフーリッシュ,牡6,56.0,石橋脩,栗東,矢作
10,モズベッロ,牡5,56.0,北村宏,栗東,森田
15,ウインマリリン,牝4,53.0,横山武,美浦,手塚
17,ジャコマル,牡7,56.0,田中勝,栗東,松永幹
11,ナイママ,牡5,56.0,柴田大,美浦,武藤
7,タガノディアマンテ,牡5,56.0,津村,栗東,鮫島
2,サンアップルトン,牡5,56.0,柴田善,美浦,中野
1,サトノフラッグ,牡4,56.0,戸崎圭,美浦,国枝
6,ベストアプローチ,セ7,56.0,江田照,美浦,小島
3,ノーブルマーズ,牡8,56.0,高倉,栗東,宮本
13,マイネルハニー,牡8,56.0,宮崎,美浦,栗田
16,ジェネラーレウーノ,牡6,56.0,武藤,美浦,矢野
5,ソッサスブレイ,牡7,56.0,木幡巧,美浦,粕谷
14,ランフォザローゼス,牡5,56.0,杉原,美浦,藤沢和
